[     535ms] [INFO] SessionMonitor started @ https://app.manatal.com/container-assets/assets/js/98.3a12cb0e.js:0
[   82620ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.json was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[   82620ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/img/icons/apple-touch-icon.png was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[   82620ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/favicon.ico was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[   82620ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.webmanifest was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[   90567ms] [INFO] [2026-04-29T12:13:01.199Z] TokenRefresher - running... @ https://app.manatal.com/container-assets/assets/js/98.3a12cb0e.js:0
[   96353ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.json was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[   96353ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/img/icons/apple-touch-icon.png was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[   96353ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/favicon.ico was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[   96353ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.webmanifest was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  104601ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_TIMED_OUT @ https://o422690.ingest.sentry.io/api/5247702/envelope/?sentry_version=7&sentry_key=9c6c6fe1b31a4124a87c34acad22f59f&sentry_client=sentry.javascript.vue%2F8.55.1:0
[  107602ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.json was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  107602ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/img/icons/apple-touch-icon.png was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  107602ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/favicon.ico was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  107602ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.webmanifest was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  120566ms] [INFO] [2026-04-29T12:13:31.199Z] TokenRefresher - running... @ https://app.manatal.com/container-assets/assets/js/98.3a12cb0e.js:0
[  124205ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.json was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  124205ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/img/icons/apple-touch-icon.png was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  124205ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/favicon.ico was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  124205ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.webmanifest was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  126513ms] [ERROR] Failed to load resource: net::ERR_TIMED_OUT @ https://o422690.ingest.sentry.io/api/5247702/envelope/?sentry_version=7&sentry_key=9c6c6fe1b31a4124a87c34acad22f59f&sentry_client=sentry.javascript.vue%2F8.55.1:0
[  129514ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.json was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  129514ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/img/icons/apple-touch-icon.png was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  129514ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/favicon.ico was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  129514ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.webmanifest was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  141534ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/manifest.json was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  141534ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/img/icons/apple-touch-icon.png was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
[  141534ms] [WARNING] The resource https://app.manatal.com/container-assets/assets/favicon.ico was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://app.manatal.com/folders:0
